CLOROF_A,COLI_FEC,COLI_TOT,E_COLI,COT,COT_SOL,DBO_SOL,DBO_TOT,DQO_SOL,DQO_TOT,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,P_TOT,ORTO_PO4,COLOR_VER,TRANSPARENCIA,ABS_UV,SDT,SAAM,SST,TURBIEDAD,TEMP_AMB,PROFUNDIDAD,CAUDAL,DUR_TOT,TEMP_AGUA,CONDUC_CAMPO,pH_CAMPO,OD_%,OD_mg/L
,24196,24196,2187,6.171,5.995,5.66,6.25,24.19,137.22,0.349382,0.026185,5.706769,1.30116,7.383496,1.650542,0.15635,0.11452,50,,0.04,350.08,0.039,108.57,80,32,,159,162.69,27.8,547,8.3,102.2,7.95
,6488,24196,1019,3.339,3.287,2,2,10,10,0.055227,0.022479,11.940217,0,12.017923,0.055227,0.12181,0.10602,25,,0.016,636.8,0.096,17,7.3,28,,13,271.674,27.8,995,8,55.8,4.36
,98040,241960,72700,3.454,3.111,2,2,10,10,0.353465,0.040274,16.262964,0,16.656703,0.353465,0.21154,0.14773,50,,0.094,652.8,0.125,112.22,55,31,,53,283.631,29.3,1020,8.1,97.5,7.41
,129970,241960,120330,7.449,5.715,2,2,10,42.1,0.376644,0.869025,9.6596,3.65482,14.560089,4.031464,0.82088,0.17144,120,,0.184,398.08,0.308,630,210,29,,178,237.072,26.6,622,8.3,80.6,6.35
,57940,241960,27550,4.832,3.979,7.82,8.64,10,37.74,1.324663,0.263359,12.301527,0,13.889549,1.324663,0.21575,0.13889,60,,0.124,414.72,0.085,140,130,27,,41.5,229.648,23.7,648,8,72.2,6.13
,129970,241960,28510,7.196,3.192,2,2,10,10,0.771119,0.019635,14.03038,0,14.821134,0.771119,0.55506,0.18363,25,,0.129,545.92,0.34,74,34,31,,179.8,261.53,27.7,853,7.5,77.6,6.05
,24196,,24196,3.123,,,2,,13.38,0.115854,0.066618,17.994291,0.25976,18.43652,0.375611,0.27798,0.09155,30,,,720,0.015,42.89,24,31,,693,254.643,31.1,1125,8.5,104.8,7.72
,24196,,2419600,72.616,36.85,36.69,95.79,185.6,274.312,26.0631,0.0297,0.004,7.7947,33.8915,33.8578,3.3874,2.6639,100,,0.0714,824.96,,82.5,54,,,900,213.384,24.6,1289,7.44,10,1
,366.52,366.52,3,3.51153,,,,,,,0.010976,0.031383,0.267307,,,,,,,0.009,943.4304,,10,1.274,20.3448,,1980,,23.2652,1474.11,8.8367,82.908,6.8706
,24196,24196,24196,51.747,49.517,51.57,131.37,214.3,301.568,38.0549,0.0101,0.3445,10.5451,48.9546,48.6,10.1943,4.8107,100,,0.0808,680.96,,110,65,28.1,,1150,189.9616,27,1064,7.41,11,1
,24196,24196,24196,57.6855,47.497,50.21,111.11,120.6,176.88,26.656,0.0049,0.1107,3.678,30.4496,30.334,4.5785,3.3074,100,,0.0207,506.88,,60,38,32.8,,894,189.0048,28.8,792,7.51,11,1
,24196,24196,24196,39.236,29.032,81,117.9,225.12,289.44,35.8636,0.0045,0.0339,3.0748,38.9768,38.9384,4.1408,1.9145,50,,0.0122,642.56,,91.6667,140,40.3,,714,246.2096,32.3,1004,7.46,12,1
,24196,24196,24196,42.448,36.776,42.65,123.35,192.96,289.44,18.2857,0.0036,0.0223,7.5888,25.9004,25.8745,4.1587,3.077,125,,0.1531,734.72,,68.33,35,35.8,,672,170.577,33.6,1148,7.33,12,1
,24196,24196,24196,19.054,15.218,73.88,114.98,144.32,155.8,28.2056,0.0022,0.0547,2.0871,30.3496,30.2927,5.2497,2.2076,125,,0.18,668.8,,355,60,32.8,,1103,200.8,31.9,1045,7.47,12,1
,24196,24196,24196,67.532,28.296,93.94,98.74,136.68,297.48,39.795,0.003,0.132,8.067,47.997,47.862,5.148,2.597,100,,0.43,736.64,4.808,87.5,30,34.6,,1068,244.896,31.8,1151,7.6,12,1
,24196,24196,24196,83.336,26.732,105.22,290.33,130.56,481.44,33.249,0.005,0.082,0,33.336,33.249,4.114,2.305,125,,0.275,609.28,11.84,95,55,28,,985.5,247.83,26,952,7.46,,
,24196,24196,24196,32.568,24.934,18,88.3,106.08,236.64,35.116,0.249,0.039,0,35.404,35.116,4.505,2.341,75,,0.339,666.24,11.96,75,32,35,,326,192.1,29.2,1041,7.5,,
,24196,24196,24196,35.454,14.52,176.4,248.4,225,262.5,29.537,0.006,0.177,0,29.72,29.537,4.598,3.605,125,,0.397,807.04,11.8,70,85,34,,1422.8,170,32.1,1261,7.6,,1
,241960,241960,241960,54.614,32.704,2,58,72.38,293.22,28.683,0.002,0.03,0,28.715,28.683,4.284,2.821,175,,0.315,727.04,7.731,110,24,37,,991,192,32.5,1136,7.5,10,1
,241960,241960,241960,21.664,21.664,78,90,97.5,136.5,2.616,0.003,0.024,2.191,4.834,4.807,,,70,,0.241,655.36,7.85,113.3,65,33,,1033,197.4,31,1024,7.3,,
,241960,241960,241960,29.518,19.482,66.5,182,106.3,232.35,27.107,0.003,0.021,1.453,28.584,28.56,4.62,2.763,70,,0.289,997.12,6.012,100,36,34,,707,218.4,31,1558,7.5,,
,24196,24196,24196,42.768,32.982,88.86,113.86,146.28,230,25.792025,0.124,0.9361,8.724475,35.5766,34.5165,4.9058,2.0855,75,,0.334,542.08,5.236,180,145,25.1,,1019.6,204.54,24,847,7.26,36.7,3.67
,241960,241960,241960,34.584,28.522,6.31,15.02,103.63,221.5,16.353222,0.003457,0.006537,13.584478,29.947694,29.9377,5.0093,2.641273,70,,0.24,544.64,5.183,120,66,33,,1318.5,141.6,27.5,851,8.2,10,1
,241960,241960,241960,29.029,17.007,65.48,65.48,155.9,362.86,23.137024,0.003612,0.038965,9.920776,33.100377,33.0578,5.2025,2.7632,80,,0.094,590.72,4.28,95,24,35,,1061.6,168.67,29.2,923,7.5,10,1
